Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,tenure_display,Postal District,Market Segment,Floor Level,postal_sector,price_psf,comparison_key
THE NAUTICAL,"720,888",570.49,"1,264",Aug-24,JALAN SENDUDOK,Resale,Strata,53.0,"13,602",-,Condominium,1,99 yrs lease commencing from 2011,27,Outside Central Region,01 to 05,27,1264,Private-Condominium-99 yrs lease commencing from 2011
BALLOTA PARK CONDOMINIUM,"1,390,000","1,280.92","1,085",Aug-24,MARIAM WAY,Resale,Strata,119.0,"11,681",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05,17,1085,Private-Condominium-Freehold
THE TROPIC GARDENS,"2,588,000","1,550.02","1,670",Aug-24,UPPER EAST COAST ROAD,Resale,Strata,144.0,"17,972",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05,16,1670,Private-Condominium-Freehold
VACANZA @ EAST,"1,971,000","1,323.97","1,489",Aug-24,LENGKONG TUJOH,Resale,Strata,123.0,"16,024",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05,14,1489,Private-Condominium-Freehold
THE RISE @ OXLEY - RESIDENCES,"1,550,000",645.84,"2,400",Aug-24,OXLEY RISE,Resale,Strata,60.0,"25,833",-,Apartment,1,Freehold,9,Core Central Region,01 to 05,9,2400,Private-Apartment-Freehold
PARC BOTANNIA,"826,000",505.91,"1,633",Aug-24,FERNVALE STREET,Resale,Strata,47.0,"17,574",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,16 to 20,28,1633,Private-Condominium-99 yrs lease commencing from 2016
VACANZA @ EAST,"2,128,000","1,323.97","1,607",Aug-24,LENGKONG TUJOH,Resale,Strata,123.0,"17,301",-,Condominium,1,Freehold,14,Outside Central Region,06 to 10,14,1607,Private-Condominium-Freehold
HIGHLINE RESIDENCES,"2,420,000","1,130.22","2,141",Aug-24,KIM TIAN ROAD,Resale,Strata,105.0,"23,048",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,01 to 05,3,2141,Private-Condominium-99 yrs lease commencing from 2013
THE GREENWICH,"980,000",882.65,"1,110",Aug-24,SELETAR ROAD,Resale,Strata,82.0,"11,951",-,Condominium,1,99 yrs lease commencing from 2009,28,Outside Central Region,01 to 05,28,1110,Private-Condominium-99 yrs lease commencing from 2009
THE TRILINQ,"2,450,000","1,700.71","1,441",Aug-24,JALAN LEMPENG,Resale,Strata,158.0,"15,506",-,Condominium,1,99 yrs lease commencing from 2012,5,Outside Central Region,01 to 05,5,1441,Private-Condominium-99 yrs lease commencing from 2012
HIGH PARK RESIDENCES,"1,020,000",678.13,"1,504",Aug-24,FERNVALE ROAD,Resale,Strata,63.0,"16,190",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,11 to 15,28,1504,Private-Apartment-99 yrs lease commencing from 2014
CAIRNHILL RESIDENCES,"3,100,888","1,162.51","2,667",Aug-24,CAIRNHILL CIRCLE,Resale,Strata,108.0,"28,712",-,Apartment,1,Freehold,9,Core Central Region,16 to 20,9,2667,Private-Apartment-Freehold
18 WOODSVILLE,"1,520,000",914.94,"1,661",Aug-24,WOODSVILLE CLOSE,Resale,Strata,85.0,"17,882",-,Apartment,1,Freehold,13,Rest of Central Region,01 to 05,13,1661,Private-Apartment-Freehold
JADESCAPE,"1,088,000",527.44,"2,063",Aug-24,SHUNFU ROAD,Resale,Strata,49.0,"22,204",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20,20,2063,Private-Condominium-99 yrs lease commencing from 2018
SKIES MILTONIA,"2,200,000","2,561.83",859,Aug-24,MILTONIA CLOSE,Resale,Strata,238.0,"9,244",-,Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,11 to 15,27,859,Private-Condominium-99 yrs lease commencing from 2012
ONE JERVOIS,"2,238,000",990.29,"2,260",Aug-24,JERVOIS CLOSE,Resale,Strata,92.0,"24,326",-,Condominium,1,Freehold,10,Core Central Region,01 to 05,10,2260,Private-Condominium-Freehold
FONTANA HEIGHTS,"8,100,000","3,466.01","2,337",Aug-24,MOUNT SINAI RISE,Resale,Strata,322.0,"25,155",-,Condominium,1,Freehold,10,Core Central Region,16 to 20,10,2337,Private-Condominium-Freehold
76 SHENTON,"1,820,000",968.76,"1,879",Aug-24,SHENTON WAY,Resale,Strata,90.0,"20,222",-,Apartment,1,99 yrs lease commencing from 2007,2,Core Central Region,21 to 25,2,1879,Private-Apartment-99 yrs lease commencing from 2007
THE FLORENCE RESIDENCES,"1,130,000",635.08,"1,779",Aug-24,HOUGANG AVENUE 2,Sub Sale,Strata,59.0,"19,153",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,19,1779,Private-Apartment-99 yrs lease commencing from 2018
