Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"19,750,000","9,802.77","2,015",Apr-26,MARGATE ROAD,Resale,Land,910.7,"21,687",-,Detached House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,150,000","3,322.85","1,851",Apr-26,JALAN TAMAN,Resale,Land,308.7,"19,922",-,Terrace House,1,Freehold,12,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,538,888","3,859.97","1,435",Apr-26,GERALD PARK,Resale,Land,358.6,"15,446",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,250,000","2,697.46","1,576",Apr-26,BEDOK TERRACE,Resale,Land,250.6,"16,959",-,Terrace House,1,999 yrs lease commencing from 1878,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,480,000","2,603.81","2,489",Apr-26,PEBBLE LANE,Resale,Land,241.9,"26,788",-,Terrace House,1,Freehold,15,Rest of Central Region,-
SIMEI GARDEN,"4,618,000","3,153.85","1,464",Apr-26,SEA BREEZE WALK,Resale,Land,293,"15,761",-,Terrace House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,700,000","4,319.59","1,783",Apr-26,TOH YI ROAD,Resale,Land,401.3,"19,188",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,395,000","1,689.95","2,601",Apr-26,JALAN SEMPADAN,Resale,Land,157,"27,994",-,Terrace House,1,Freehold,15,Outside Central Region,-
LOYANG VILLAS,"2,330,000","1,614.6","1,443",Apr-26,LOYANG VIEW,Resale,Land,150,"15,533",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,065,000","1,742.69","2,333",Apr-26,PARBURY AVENUE,Resale,Land,161.9,"25,108",-,Terrace House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"8,680,000","4,177.51","2,078",Apr-26,LORONG TANGGAM,Resale,Land,388.1,"22,365",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
SEMBAWANG GARDEN ARCADE,"6,108,888","3,484.31","1,753",Apr-26,JALAN DERUM,Resale,Land,323.7,"18,872",-,Semi-Detached House,1,Freehold,27,Outside Central Region,-
LOYANG VILLAS,"2,320,000","1,750.23","1,326",Apr-26,LOYANG RISE,Resale,Land,162.6,"14,268",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"8,880,000","4,107.54","2,162",Apr-26,GENTLE ROAD,Resale,Land,381.6,"23,270",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
SPRING PARK ESTATE,"5,525,000","3,600.56","1,534",Apr-26,UPPER EAST COAST ROAD,Resale,Land,334.5,"16,517",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
WATTEN ESTATE,"6,650,000","1,797.59","3,699",Apr-26,SHELFORD ROAD,Resale,Land,167,"39,820",-,Terrace House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"6,800,000","5,573.6","1,220",Apr-26,JALAN ARIF,Resale,Land,517.8,"13,132",-,Semi-Detached House,1,999 yrs lease commencing from 1875,19,Outside Central Region,-
BIN TONG PARK,"20,500,000","9,172","2,235",Apr-26,BIN TONG PARK,Resale,Land,852.1,"24,058",-,Detached House,1,Freehold,10,Core Central Region,-
